CODE,RU,UZ,http://terminology.hl7.org/CodeSystem/v2-0487
ABS  ,Абсцесс,Abstsess,
ACNE  ,"Ткань, акне",Akne to‘qimasi,
ACNFLD  ,"Жидкость, акне",Akne suyuqligi,
AIRS  ,Образец воздуха,Havo namunasi,
ALL  ,Аллотрансплантат,Allograft,
AMN  ,Амниотическая жидкость,Amniotik suyuqlik,
AMP  ,Ампутация,Amputatsiya,
ANGI  ,"Кончик катетера, ангио","Kateter uchi, angio",
ARTC  ,"Кончик катетера, артериальный","Kateter uchi, arterial",
ASERU  ,"Сыворотка, острая",O‘tkir zardob,
ASP  ,Аспират,Aspirat,
ATTE  ,"Окружающая среда, аттестат","Muhit, attestatsiya",
AUTOA  ,"Окружающая среда, автоклавная ампула","Atrof-muhit, avtoklav ampulasi",
AUTOC  ,"Окружающая среда, автоклавная капсула","Atrof-muhit, avtoklav kapsulasi",
AUTP  ,Аутопсия,Autopsiya,
BBL  ,Пакет с кровью,Qon paketi,
BCYST  ,Киста Бейкера,Beyker kistasi,
BDY  ,Всё тело,Butun tana,
BIFL  ,Жёлчная жидкость,O‘t suyuqligi,
BITE  ,Укус,Tishlash,
BLD  ,Цельная кровь,Butun qon,
BLDA  ,Артериальная кровь,Arterial qon,
BLDCO  ,Пуповинная кровь,Kindik qoni,
BLDV  ,Венозная кровь,Venoz qon,
BLEB  ,Пузырёк,Pufakcha,
BLIST  ,Волдырь,Qavariq pufak,
BOIL  ,Фурункул,Furunkul,
BONE  ,Кость,Suyak,
BOWL  ,Содержимое кишечника,Ichak tarkibi,
BPH  ,Базофилы,Bazofillar,
BPU  ,Единица продукта крови,Qon mahsuloti birligi,
BRN  ,Ожог,Kuyish,
BRSH  ,Щётка,Cho‘tka,
BRTH  ,Выдыхаемый воздух,Nafas chiqarilgan havo,
BRUS  ,Чистка,Cho‘tkalash,
BUB  ,Бубон,Bubon,
BULLA  ,Булла / пузыри,Pufaklar,
BX  ,Биопсия,Biopsiya,
CALC  ,Конкремент (камень),Tosh (konkrement),
BONE  ,Кость,Suyak,
CARBU  ,Карбункул,Karbunkul,
CAT  ,Катетер,Kateter,
CBITE  ,Укус кошки,Mushuk tishlashi,
CDM  ,Сердечная мышца,Yurak mushagi,
CLIPP  ,Срезы,Qirqimlar,
CNJT  ,Конъюнктива,Konyunktiva,
CNL  ,Канюля,Kanyula,
COL  ,Молозиво,Og‘iz suti,
CONE  ,Коническая биопсия,Konus biopsiyasi,
CSCR  ,Царапина кошки,Mushuk tirnashi,
CSERU  ,"Сыворотка, период выздоровления",Sog‘ayish davridagi zardob,
CSF  ,Цереброспинальная жидкость,Miya-orqa miya suyuqligi,
CSITE  ,Место введения катетера,Kateter kiritilgan joy,
CSMY  ,Жидкость из цистостомической трубки,Tsistostomiya naychasi suyuqligi,
CST  ,Жидкость кисты,Kista suyuqligi,
CSVR  ,"Кровь, аппарат Cell Saver",Cell Saver qoni,
CTP  ,Кончик катетера,Kateter uchi,
CUR  ,Кюретаж,Kyuretaj,
CVM  ,Цервикальная слизь,Bachadon bo‘yni shilliqi,
CVPS  ,"Место, ЦВД",CVP joyi,
CVPT  ,"Кончик катетера, ЦВД","Kateter uchi, CVP",
CYN  ,"Узел, кистозный",Kistoz tugun,
CYST  ,Киста,Kista,
DBITE  ,Укус собаки,It tishlashi,
